NAME	TITLE	SCORE	
LOC119863879		2.8716614	
WIPI2		2.8680627	
BCCIP		2.8677273	
TCOF1		2.8662767	
LOC100686253		2.865764	
ATP1A1		2.8581717	
LOC102151334		2.852984	
MRPS15		2.8485482	
LANCL2		2.8357232	
LOC474656		2.8338628	
LOC100684726		2.8328526	
COPRS		2.830408	
COQ7		2.8269286	
GNL3L		2.8247194	
NRN1		2.8130553	
SYT1		2.8082633	
CKS2		2.8032122	
LOC100682783		2.7959073	
LOC612507		2.783693	
SUPT5H		2.7832432	
LOC478703		2.7797828	
LOC475462		2.776427	
BEX5		2.7732282	
BAP1		2.7718606	
GFOD1		2.770817	
THYN1		2.7690876	
LOC100684688		2.7666733	
HSBP1		2.7607377	
SERTM1		2.7540996	
UBTF		2.7479224	
LOC474642		2.7448494	
LOC608270		2.7414637	
MADD		2.740929	
ZMYND19		2.7408867	
NAA10		2.7381485	
PPIAP1		2.7342074	
BOD1		2.7274294	
CAP2		2.7265878	
LOC477597		2.7247503	
JOSD1		2.7218292	
LOC106559896		2.7148025	
LOC479257		2.7141914	
DYNLRB1		2.7073407	
LOC102152142		2.7018342	
LOC102157188		2.6998258	
IFT57		2.6988115	
SNCA		2.6985738	
PYURF		2.6955657	
LOC119873568		2.6905506	
MACROH2A1		2.6860394	
NRBP1		2.6855378	
RTN1		2.684152	
CABP1		2.6816213	
LOC119874067		2.6799376	
ENY2		2.678554	
GRPEL1		2.6741743	
FAM149A		2.672966	
LOC119871952		2.6695259	
RPL36AL		2.6676517	
LOC100687259		2.6656246	
MGAT4B		2.6638143	
PTCD2		2.661987	
SVOP		2.6609669	
LOC611528		2.659115	
CCM2		2.6582992	
NDUFA4		2.6569316	
LOC480109		2.65124	
ARMC10		2.6499999	
LOC100856765		2.6482277	
S100A13		2.6482005	
LOC119867905		2.6330774	
TADA3		2.632316	
EIF4A1		2.6298115	
LOC100685822		2.6288733	
RBBP7		2.6264715	
RBM28		2.6245377	
TAMALIN		2.618048	
CDK16		2.6142032	
SARNP		2.6118968	
ZPR1		2.609781	
KAT14		2.6092217	
LOC106559694		2.6045816	
C28H10orf88		2.600273	
LOC119865838		2.5996757	
LOC106559170		2.5976205	
HYPK		2.5972395	
LOC608162		2.596106	
DCTN6		2.5907724	
PPP1R7		2.5891058	
EIF3B		2.5881932	
CAMK1		2.5843787	
IK		2.5786214	
PRCC		2.5745773	
GRK2		2.5707233	
RNF19B		2.5669394	
LOC486757		2.5640695	
PREP		2.5601013	
SPRY2		2.5534444	
PHPT1		2.5464807	
DLG3		2.5459566	
LOC111091386		2.5445347	
HSP90AB1		2.5376763	
ARPC2		2.537565	
LOC100686136		2.53457	
LOC100688509		2.5315785	
C18H11orf98		2.5294678	
ING1		2.5252166	
COX4I1		2.5236278	
BLVRA		2.519097	
DNAJB5		2.5183237	
MLX		2.5135012	
CUL4A		2.5107589	
ZC4H2		2.509229	
LOC100683370		2.5077155	
NDUFA12		2.505358	
LOC100686502		2.502966	
ARPC4		2.502568	
SNRPD2		2.5001466	
LOC609068		2.496707	
PSME1		2.493186	
PPP2R2D		2.491197	
LOC612529		2.4900918	
BICDL1		2.4900792	
PPP5C		2.4887722	
SCG2		2.4807696	
PTPMT1		2.4804583	
SMARCB1		2.476636	
UBB		2.4729342	
LOC100856198		2.4718812	
GDAP1L1		2.4714239	
AMZ2		2.4703467	
MICAL2		2.462945	
LOC102152925		2.4618523	
GNG13		2.4581456	
RPS18		2.4516194	
RIMS4		2.451242	
PPP2CA		2.4453425	
TIMM10		2.4440985	
THAP11		2.4435077	
FAM216A		2.442581	
LOC111094949		2.4421399	
HPRT1		2.4411914	
LOC474987		2.435711	
CCDC124		2.4324043	
TMEM38A		2.4320974	
LOC479267		2.431751	
LOC119870157		2.4312618	
LOC106560138		2.4281714	
HDAC3		2.427624	
ABCF1		2.424632	
NEUROD6		2.424174	
AP3B2		2.4237313	
DNAJB11		2.4236257	
PDZD4		2.4227064	
LOC111089999		2.421801	
GDPGP1		2.4199932	
PSMD7		2.4191628	
MAGEF1		2.4185612	
LOC100682740		2.4173827	
ATXN10		2.414907	
SF3A3		2.4117336	
LOC100686274		2.4105852	
BANP		2.4081693	
SEPTIN5		2.4075937	
DIRAS2		2.4066303	
LOC119870527		2.406288	
RTL5		2.400588	
LOC611719		2.4001873	
LOC612100		2.3923173	
LOC475374		2.3915992	
CCDC127		2.390833	
NDUFA13		2.3904855	
ARHGEF9		2.3881116	
LOC100856399		2.3864686	
ACOT7		2.3847437	
CFAP20		2.384197	
USP11		2.3815968	
MRPL23		2.3814275	
RDH14		2.3811345	
RPL12		2.381059	
C7H1orf43		2.3806095	
RND1		2.3804967	
LOC100683828		2.3788092	
PPIA		2.3764136	
LOC100688410		2.3739867	
GALNT17		2.3725038	
DPYSL4		2.3709464	
LOC100687687		2.3708725	
RASGRF1		2.3695002	
MTIF3		2.3689196	
SIAH2		2.3645005	
LOC100686765		2.362994	
FFAR4		2.3625004	
MAPK13		2.362458	
TMEM54		2.3623981	
KARS1		2.36217	
FAM53C		2.3598738	
SSU72		2.3593485	
LOC489591		2.3548727	
LOC475972		2.3547566	
PPP1R14C		2.3542767	
TAGLN3		2.3527398	
ZRSR2		2.35202	
REXO4		2.3483286	
YTHDF2		2.341187	
DTNBP1		2.3383224	
CDC26		2.3382542	
PSMC4		2.3314037	
TCAP		2.3308358	
LOC610338		2.3293788	
CSNK1G2		2.3284948	
DEAF1		2.3265722	
LOC609468		2.3230023	
RNF40		2.3228543	
LOC106557643		2.321501	
ST6GALNAC6		2.321475	
MED22		2.3212357	
AP3S1		2.32115	
SRI		2.3204906	
LOC480813		2.319133	
NR2F6		2.3176425	
LOC102152261		2.3156414	
CNPY2		2.3122492	
RASL11A		2.3083603	
PQBP1		2.3080697	
DDX19B		2.3053565	
LOC100684216		2.3042488	
PTGES2		2.2957208	
CFL1		2.2955241	
AGA		2.2951875	
ATAD3A		2.2948062	
PRPF19		2.292471	
LOC100855570		2.2888892	
EIF3D		2.286632	
PSMC1		2.2865849	
ISY1		2.285734	
STXBP1		2.2849114	
DZIP1		2.2816644	
DGKZ		2.280315	
MSL3		2.278143	
LOC477883		2.2781	
SPATS2		2.2773595	
LOC100688768		2.277234	
ARL3		2.276596	
SCN2B		2.2752018	
LOC106558651		2.275023	
LOC487150		2.272693	
NISCH		2.2706006	
DOK4		2.2678998	
PSMC3		2.2664504	
CCT3		2.2660959	
ZNF385B		2.2597508	
RSPO3		2.259733	
SSNA1		2.2592285	
LARGE1		2.258996	
PEX11A		2.2572708	
DDX39A		2.2547185	
BZW2		2.253976	
NEURL1B		2.252893	
SCRN1		2.25272	
CYHR1		2.2519073	
HDGFL2		2.2475574	
RAB12		2.2428684	
LRRC59		2.2409227	
ARFIP2		2.2405052	
PTPN3		2.2387242	
PPP1R9B		2.2353582	
BLOC1S1		2.235241	
TPI1		2.2296324	
FNDC4		2.2289762	
ARHGEF3		2.2233768	
DYDC1		2.2232046	
SERTAD1		2.222801	
NSG2		2.2158298	
PPIL1		2.2143142	
SH3GL2		2.2139323	
NDUFA6		2.207601	
CHMP4B		2.2039475	
SNRPB		2.2037375	
LOC106557771		2.2028232	
PSMD8		2.19915	
LOC102157385		2.1978133	
LOC100683727		2.197228	
LOC100856235		2.1945689	
SMARCA4		2.1930213	
PES1		2.191298	
GNAS		2.19021	
TSPAN5		2.187749	
PTGES3L		2.1870446	
MAGEH1		2.1869063	
RPL5		2.185544	
NDFIP1		2.1846805	
CPNE9		2.1838107	
POLR2I		2.1826456	
NT5C3B		2.1820464	
ATG16L1		2.1805406	
H2AZ1		2.179961	
NDUFS4		2.1794307	
FBXO9		2.1785831	
PRMT1		2.1782064	
RGS2		2.177917	
SLC25A12		2.1767333	
C2CD2L		2.1763394	
VPS28		2.175252	
TPM3		2.173538	
BRK1		2.1734567	
LOC613013		2.1731875	
SARS1		2.1730628	
AP2A2		2.1721961	
TMSB10		2.1697793	
ZFAND2A		2.1673622	
BORCS6		2.1623547	
TLE1		2.1622944	
MAP2K1		2.1609228	
ANKRD13D		2.1582813	
NDUFB9		2.157407	
APP		2.1566474	
LOC119869843		2.1561944	
SEPTIN3		2.156108	
SNRNP27		2.15608	
RABL6		2.155311	
C6H1orf52		2.1550906	
CFDP1		2.1532087	
LOC610115		2.1502056	
OCEL1		2.1501691	
CA4		2.1484976	
CA10		2.1476016	
BRD9		2.1456077	
PSMB7		2.145542	
NDN		2.1452394	
LOC100688210		2.1451204	
AASDHPPT		2.1430264	
TCEAL6		2.1427078	
ZNF853		2.142272	
LOC102154590		2.1421072	
LOC119870304		2.13878	
LOC119863900		2.1383712	
CHMP3		2.1372077	
DCUN1D2		2.1361582	
NUDC		2.1356707	
CRMP1		2.1344411	
LOC119870132		2.1341817	
NPTXR		2.1341481	
FGFR1OP2		2.131582	
MRPS31		2.1312654	
MORF4L1		2.1307425	
SCN1B		2.130222	
SMARCD3		2.1301968	
LOC100685427		2.1297135	
TIMM44		2.1288927	
COPG1		2.1276119	
DLK2		2.1273813	
SPTSSB		2.127199	
SMAP1		2.127002	
ENOPH1		2.1245205	
COX3		2.122014	
RAPGEF4		2.1219301	
MRPL46		2.1193893	
CCDC149		2.1174333	
TCEAL3		2.1133752	
PODXL2		2.112771	
LOC606904		2.1119716	
MRPS7		2.1087084	
IFNAR2		2.10624	
DUSP14		2.1054974	
USP39		2.104534	
ASAP1		2.1044302	
GORASP2		2.1035438	
VPS4A		2.1027184	
TCEAL5		2.1016047	
LOC100688690		2.0995934	
ZGPAT		2.0986536	
CFAP36		2.0949314	
RABL2B		2.0938044	
LOC100685720		2.09093	
SEM1		2.0907094	
RASSF5		2.0902858	
PTPRA		2.087771	
CCDC32		2.0875027	
PAF1		2.0865197	
AK5		2.085537	
RPLP0P		2.0854642	
ANP32A		2.0850227	
LOC111096123		2.084542	
ARG2		2.084236	
LOC100687828		2.0837004	
LOC490173		2.0824745	
CCT8		2.082376	
GTPBP4		2.0811105	
EXT1		2.0791678	
CLTB		2.0775511	
LOC102153456		2.0756671	
HMGB3		2.073995	
GOLGA7B		2.0731351	
NAB2		2.0723677	
LOC100685005		2.071491	
SYBU		2.0690582	
MYL6B		2.0679898	
RAB33A		2.0670478	
LOC607335		2.0651543	
GPR162		2.0648224	
ECE1		2.0636928	
LOC106557704		2.0620854	
SURF1		2.0606806	
SPOUT1		2.0603957	
ATP6V1E1		2.057582	
LOC608806		2.0495803	
C7H18orf21		2.0478911	
BRINP1		2.0469735	
ATP5F1E		2.0449703	
LOC476315		2.0384028	
ACO2		2.0364816	
LOC119864090		2.0363755	
GRB2		2.03459	
FAU		2.033457	
SNRPN		2.0323086	
ACTR3B		2.0321493	
ATP5PO		2.031467	
VPS72		2.0311685	
DCTN1		2.0275917	
KLHL23		2.02642	
C7H1orf53		2.026059	
RHEB		2.0256615	
PPM1G		2.0255857	
STUB1		2.0253384	
LOC106558666		2.0246155	
ARC		2.023342	
MRPL24		2.0232234	
EEF1A2		2.0203776	
RPL35		2.020104	
PRDX2		2.0188444	
MAD2L2		2.0179622	
ATP5MG		2.0178802	
PTHLH		2.017634	
POMT1		2.017021	
AVPI1		2.0167189	
TFCP2		2.0161562	
IDH3G		2.0161443	
STX8		2.0144517	
L3MBTL2		2.0143046	
ZPLD1		2.0139787	
CDC42BPB		2.0134594	
DHPS		2.0124035	
LOC119864748		2.0112236	
HMCES		2.0111852	
MEIS3		2.0106337	
RNASEH1		2.0102015	
P2RX5		2.0090182	
GFER		2.0083187	
KDM1A		2.0082788	
NKRF		2.00665	
LOC119866176		2.0034728	
CALM2		2.0024526	
AP2S1		2.0022314	
LOC479795		2.001961	
HABP4		1.9987518	
TBCA		1.9966474	
GYG1		1.9966165	
LOC607511		1.9954695	
CHD3		1.9945438	
LOC106557731		1.9945294	
CACNB3		1.9938961	
LOC610181		1.9916885	
KIAA1549L		1.9909302	
C1H19orf81		1.9895301	
GTF2F1		1.9888258	
RIIAD1		1.9868416	
NPM2		1.9864023	
LOC475410		1.9844973	
DPH7		1.9838744	
NDUFS3		1.9833425	
CA7		1.9825678	
OLFM3		1.9796375	
PPP2R1A		1.9770565	
CCDC51		1.9770563	
TIMM21		1.976964	
MTX2		1.9749575	
TRIM27		1.9746642	
ATP6V1F		1.9734097	
KCNIP3		1.9715945	
MRTO4		1.9713457	
HPCAL1		1.9711338	
LOC102155379		1.9711233	
HCCS		1.9708838	
UQCRH		1.9706722	
FAM32A		1.9701775	
LARP6		1.969804	
LOC100684874		1.9697944	
LOC102151856		1.9695426	
CCNA1		1.9689146	
GNB1		1.9680232	
LRRC3B		1.9675393	
GBA2		1.9670224	
UCP1		1.9663368	
CYC1		1.9655051	
MRPL28		1.963061	
EMC8		1.9621533	
DNAJC4		1.9620454	
LOC106557545		1.9619617	
RPL31		1.9618613	
SLC25A14		1.9617442	
CYCS		1.9614326	
DUSP23		1.9613198	
ACAT2		1.9604883	
LOC119864697		1.9602927	
LOC100687152		1.958287	
LOC102151399		1.9555856	
LOC100855468		1.9548938	
MAGED1		1.9519656	
RNF41		1.95195	
CYB5RL		1.9500958	
POLR1D		1.9489237	
LOC111097618		1.9466256	
RUVBL1		1.9453502	
LOC102155146		1.9440808	
PSMD2		1.944046	
RPS27A		1.943588	
METTL3		1.9434559	
PRKAG2		1.9430542	
KRT24		1.9416225	
SYN2		1.9415455	
METAP1		1.9407228	
SYNGR1		1.9398113	
LOC100683563		1.937574	
PRKCZ		1.9364442	
POLR2J		1.935822	
RAB11FIP3		1.9358174	
PPP2R5D		1.9347432	
KLHL25		1.9343505	
KIF3B		1.9338949	
TNPO2		1.9319218	
PUS1		1.9307394	
NAP1L4		1.9306983	
ENO2		1.930072	
DCTN2		1.9291203	
BRSK1		1.9288543	
LAMB1		1.9281977	
MRPL4		1.9276063	
COMMD2		1.925632	
FBXO44		1.9248091	
RASSF1		1.924482	
PPM1H		1.9243737	
DCAF6		1.9231365	
RGS20		1.9213848	
LOC100684988		1.9184315	
SRP14		1.9179196	
RTF2		1.9176956	
LOC106559080		1.9166378	
FN3K		1.9154937	
LOC100684429		1.9146881	
AKAP8L		1.9141213	
SCARB1		1.9139078	
LOC106558335		1.9121834	
LOC106559325		1.9111736	
EXOC7		1.9107783	
MAP1LC3A		1.9101542	
SSRP1		1.9094088	
PLK2		1.9093482	
OTUB1		1.9090121	
EIF2B3		1.908292	
STIM1		1.9079491	
SRA1		1.9073464	
AURKAIP1		1.9064584	
ILK		1.9058806	
LOC100684565		1.9056373	
RAC3		1.9050624	
HAPLN3		1.904787	
BYSL		1.9040681	
KLHDC3		1.9039998	
LOC102155410		1.9035859	
MARCHF9		1.903326	
ASPHD2		1.9031458	
CCNF		1.9026235	
COA7		1.9015306	
LOC607470		1.9003316	
LOC100688651		1.8991804	
CAP1		1.8991357	
ZNF622		1.8980716	
PIP4K2B		1.8964663	
KCNMB4		1.8959565	
AACS		1.8942264	
DCTN3		1.8937883	
LOC102156086		1.8932179	
ISM1		1.8930477	
ALDOA		1.8922933	
LOC102152648		1.892267	
NUDT8		1.8919653	
XBP1		1.891235	
PTOV1		1.8877543	
LOC480918		1.8868852	
RRP36		1.886778	
LOC100686565		1.8856514	
KLHL18		1.8855679	
SNU13		1.8833735	
MPI		1.8825839	
RPS25		1.8820865	
MARK1		1.8816516	
SNRPA		1.8801403	
ELOB		1.8773435	
FHL2		1.8766701	
NGRN		1.8751569	
TIPRL		1.8748043	
HAP1		1.8741652	
ST3GAL5		1.8737845	
SLC1A6		1.8737425	
CA11		1.8726121	
PHF13		1.8721325	
RPS10		1.8700578	
LOC100688002		1.8692602	
LOC481310		1.8691815	
HYI		1.8691126	
PJA1		1.8687037	
CCAR2		1.8681673	
SEPTIN6		1.8678198	
LOC102151956		1.8671585	
LOC477508		1.8669857	
PKIG		1.8657594	
RASGRF2		1.8648815	
GUCY1B1		1.8631489	
PLCB1		1.8617492	
RFLNA		1.8617251	
C18H11orf80		1.8607081	
MRPS18A		1.8601089	
ARF5		1.8592626	
CUL1		1.8586284	
ACYP1		1.8578562	
GSTA4		1.8547864	
RPUSD4		1.8537463	
GFRA2		1.8537332	
GUK1		1.8536747	
GPM6A		1.8512862	
MRRF		1.850889	
CENPF		1.8503768	
LOC474576		1.8485184	
LOC102156518		1.8484606	
YWHAH		1.8479558	
HMOX2		1.846956	
PGLS		1.8461224	
CCT5		1.8436774	
MORF4L2		1.8404864	
LOC111090112		1.8399853	
CARS1		1.8398854	
TRIP13		1.8398203	
PTPA		1.8393433	
CLSTN3		1.8389266	
P4HB		1.8385714	
PRMT8		1.8362515	
LOC100686062		1.8354592	
LTO1		1.8353025	
SELENOK		1.834957	
LOC100682790		1.8345064	
EIF3I		1.8343296	
MCAT		1.8341429	
LOC119870113		1.8341179	
PPP1R37		1.8324558	
CAMK2B		1.8314812	
LOC611471		1.8309422	
PFN2		1.8295095	
GALNT9		1.8289361	
CCDC80		1.8282621	
UBE2E3		1.82747	
TMEM147		1.8261069	
ALYREF		1.8256388	
NUDT11		1.8252606	
LOC610983		1.8246726	
RNPS1		1.8245037	
PLPBP		1.824013	
SLC66A2		1.8236613	
TOMM7		1.8209558	
LOC106559658		1.8183295	
TSFM		1.8177763	
ECSIT		1.8154157	
KLHDC2		1.8151888	
SURF2		1.8139391	
EIF3G		1.8137679	
LOC100685935		1.8127578	
BOLA2B		1.8123469	
CDC37		1.8107415	
TMEM169		1.8090496	
LOC106558364		1.8089074	
LOC482696		1.8074986	
TCEA2		1.8071909	
USP43		1.8062071	
RNF10		1.8059444	
UQCRFS1		1.8058991	
TRIM63		1.8057859	
GABRD		1.8053392	
ZNF593		1.8042837	
LOC102151703		1.8037989	
LOC477441		1.8037063	
POU6F1		1.8036911	
POC1A		1.8019717	
LOC607834		1.8013595	
NDUFS5		1.7999911	
TRAPPC2L		1.7969612	
USP4		1.7958207	
DNAJC11		1.7949556	
DOC2A		1.7949246	
LOC100685685		1.7945688	
MRPS24		1.7940338	
CCDC22		1.7935987	
DNAJA4		1.7931118	
RAB40B		1.7918379	
NDUFA9		1.7904129	
LOC100856513		1.7902184	
SECISBP2		1.789957	
CHD1L		1.7898078	
ARHGEF18		1.7877873	
RTF1		1.7875186	
PANK2		1.7871387	
ATP5IF1		1.7866565	
NR2F1		1.7857999	
SGSM3		1.7846804	
TRPA1		1.7843437	
PGAM1		1.78327	
DHX38		1.7828037	
PSMA5		1.7820529	
RACK1		1.7816529	
LOC610821		1.7816174	
PSD		1.7810525	
VPS26B		1.7804509	
PRMT5		1.7756095	
MTA3		1.7755231	
TCP1		1.7741036	
TCF15		1.7732213	
USE1		1.7726998	
ZNF23		1.7723676	
THY1		1.7710999	
TEF		1.7708315	
MANBAL		1.7706149	
GRAMD1A		1.770572	
GAP43		1.7704331	
LOC100684235		1.7702149	
LOC489992		1.7697076	
GLT1D1		1.7694758	
MKRN2		1.765611	
TFE3		1.7644117	
MRPL12		1.7641643	
ENSA		1.7635245	
DGCR6L		1.7632556	
LOC608609		1.7614183	
ARPC5L		1.7609581	
LOC111092109		1.7607137	
TESC		1.7596111	
ARHGAP44		1.7581278	
PSMA7		1.7573411	
HINT2		1.756718	
TMEM59L		1.753991	
LOC492082		1.7539752	
GPR3		1.7506839	
WDR5		1.7502986	
IDH3A		1.7502332	
TVP23A		1.7500668	
CCNQ		1.7492054	
LOC100687749		1.7482531	
PUDP		1.7470175	
CCDC137		1.7461175	
EBP		1.7458721	
RALA		1.7450237	
EPHB3		1.7441713	
PRKAR1B		1.7440982	
LOC111092965		1.7437892	
ACTN2		1.7436725	
TSHZ3		1.7431871	
LOC100689007		1.7428092	
RAB15		1.7417092	
SGSM1		1.7412708	
HK1		1.740069	
LOC100685503		1.7398753	
NIFK		1.7397149	
ANAPC15		1.7391925	
YKT6		1.7387341	
NPRL2		1.737856	
COA8		1.7373908	
LOC479969		1.7373486	
HAGH		1.7372948	
LOC475009		1.7372136	
IFT20		1.7370377	
RAB3A		1.735495	
INO80E		1.7354891	
DPCD		1.7354742	
GTF2E2		1.7354044	
HDLBP		1.7353466	
DDX19A		1.7349409	
ROGDI		1.7347416	
LOC119865015		1.7343487	
ARL9		1.7341138	
RPL24		1.7332209	
MPO		1.7318475	
IP6K1		1.7317133	
UBE2M		1.730679	
HIRA		1.7296934	
L1CAM		1.7296505	
GET3		1.729499	
NARF		1.7286475	
TMEM198		1.7279911	
AP2A1		1.7258118	
LOC612644		1.7255075	
PDRG1		1.7253982	
LY6H		1.7248676	
OAZ1		1.7244594	
NDUFV2		1.723128	
LOC100686444		1.7230172	
SERP2		1.7227771	
PPFIA3		1.7227446	
CENPX		1.7219287	
LOC111091442		1.7201899	
PDXP		1.7199193	
XPNPEP1		1.718835	
LOC106558920		1.7174387	
TSPAN13		1.7168168	
TMEM70		1.7167058	
DEF8		1.7166165	
STK24		1.7156575	
DMAP1		1.7153518	
EBNA1BP2		1.7141752	
SHC3		1.7141658	
SNRPC		1.7119297	
LSM1		1.7111012	
PLEKHJ1		1.7083573	
PRKRIP1		1.7064551	
TCFL5		1.7064458	
TMEM40		1.7064071	
LOC100688301		1.7041548	
LOC481043		1.7025645	
PSMB1		1.702318	
CATSPERZ		1.70195	
IFT27		1.7016518	
LOC607158		1.7015327	
THOC7		1.7007339	
MTURN		1.7002906	
RANBP1		1.7001482	
MCM6		1.6996708	
DNAJC7		1.6994838	
RPS17		1.6987315	
LOC100685939		1.6983728	
BPNT1		1.6979322	
TTC19		1.6978954	
RASL10A		1.6977755	
KIF17		1.6973875	
LOC102156143		1.6968408	
LOC106559613		1.6966317	
DNM1		1.6965241	
CALR		1.6963471	
C20H3orf62		1.6946093	
NOP14		1.6944042	
CAMSAP1		1.6931345	
NFIL3		1.6928447	
PGBD5		1.691596	
SLC12A5		1.6914217	
LAMP5		1.6897246	
TUBG1		1.6897014	
MRPL36		1.6892762	
KALRN		1.6891682	
LRRC41		1.6880804	
GM2A		1.6874564	
HSP90B1		1.6870002	
MEA1		1.6857722	
EIPR1		1.6854464	
KIAA0753		1.6853507	
RPL27		1.684765	
ILF2		1.6838464	
CBX7		1.6827409	
GPS1		1.6817172	
LOC119870185		1.6799638	
WDR13		1.6798418	
NUDT16		1.6792656	
NAXD		1.678509	
RANBP9		1.6782863	
LOC106557747		1.678222	
MTA1		1.6782091	
ADAP1		1.677822	
RAB24		1.6775578	
ATP6V1G2		1.67747	
LOC119871590		1.677182	
CCDC3		1.6767384	
TFIP11		1.6766742	
PSMC5		1.6763643	
HOMER1		1.6759963	
TYMS		1.6752639	
NSFL1C		1.6747979	
NDUFB4		1.6734508	
NWD2		1.6731575	
ARL2BP		1.6720217	
ADI1		1.6718745	
LOC100683042		1.6717254	
IFFO1		1.6713496	
TMOD1		1.6707001	
LOC609245		1.6705812	
LOC487689		1.6684391	
LOC491134		1.668317	
USB1		1.6680986	
NTAN1		1.667977	
TOMM22		1.6673018	
RPL29		1.667189	
LOC476530		1.6664823	
ENHO		1.665406	
HTRA3		1.6642901	
ATP6V0A1		1.6641271	
PAXX		1.663769	
SRSF7		1.663635	
TOP3B		1.663551	
KLC1		1.6634033	
PDCD5		1.6630447	
PAK6		1.6622199	
ARHGDIG		1.6617124	
HINFP		1.6610062	
RBM14		1.6602116	
PNO1		1.6597347	
LOC475517		1.6585189	
RPS5		1.6569582	
CHGA		1.6564234	
ACTR1B		1.654183	
TSTD1		1.654025	
RAB6B		1.6534601	
PSRC1		1.6534166	
BEX3		1.6531523	
NOL12		1.652807	
EMC3		1.6527535	
RIPPLY3		1.652714	
SMIM26		1.6526055	
ING2		1.6514298	
LOC608703		1.6510009	
COQ10A		1.650478	
UBQLN4		1.6501477	
MYG1		1.6491385	
ROBO3		1.6488551	
CCDC59		1.6478755	
CPNE4		1.6474446	
DUSP7		1.6457833	
UBE2J2		1.645697	
FBXO25		1.645335	
TMEM11		1.6446586	
CHP2		1.6441758	
ZFAND5		1.6431386	
C15H1orf122		1.6418886	
RUSC2		1.6411961	
LOC119868046		1.6411353	
SLC24A3		1.639817	
RNF113A		1.6398138	
SCAMP5		1.6385723	
MLLT11		1.6382624	
PIP5K1B		1.6380783	
PPP2R5A		1.6376705	
TIMM13		1.6375636	
CIB2		1.6372502	
PARP6		1.6371264	
PI4KB		1.6355041	
FAM162A		1.635212	
DDOST		1.6342161	
LOC102155752		1.6338183	
MRPL14		1.6334046	
TIMM8B		1.6320139	
TAF11		1.6317707	
PPIAP4		1.6315203	
LOC612687		1.6314067	
RPL9		1.6313062	
