Gene	baseMean	MeanExprSmall	MeanExprLarge	log2FoldChange	FoldChange	lfcSE	stat	pvalue	padj	Direction
TRNAD-GUC.7	40.614	365.939	0.432	-7.985	0.004	1.526	-5.232	1.68e-07	1.15e-04	Down in Large
TRNAD-GUC.9	61.873	617.231	0.527	-8.621	0.003	1.646	-5.239	1.62e-07	1.15e-04	Down in Large
TRNAD-GUC.6	33.232	320.108	0.273	-8.538	0.003	1.636	-5.219	1.80e-07	1.20e-04	Down in Large
LOC119872736	41.466	102.313	3.436	-4.921	0.033	0.95	-5.183	2.19e-07	1.43e-04	Down in Large
TRNAL-AAG.3	17.941	212.953	0.868	-5.657	0.02	1.093	-5.176	2.26e-07	1.45e-04	Down in Large
LOC119873504	27.447	69.282	1.3	-5.79	0.018	1.12	-5.171	2.32e-07	1.46e-04	Down in Large
LOC119867267	43.762	104.717	5.665	-4.181	0.055	0.811	-5.157	2.51e-07	1.54e-04	Down in Large
LOC119874890	263.958	3219.611	7.09	-7.565	0.005	1.474	-5.133	2.85e-07	1.70e-04	Down in Large
TRNAD-GUC.3	66.781	675.899	0.51	-8.919	0.002	1.738	-5.132	2.87e-07	1.70e-04	Down in Large
LOC119872406	49.782	118.155	7.049	-4.003	0.062	0.789	-5.072	3.94e-07	2.24e-04	Down in Large
TRNAD-GUC.8	63.626	634.252	0.649	-8.377	0.003	1.651	-5.074	3.90e-07	2.24e-04	Down in Large
OR52H9	8.034	19.836	22.42	-5.219	0.027	1.033	-5.053	4.36e-07	2.43e-04	Down in Large
LOC100686105	18.158	43.877	2.083	-4.425	0.047	0.876	-5.049	4.44e-07	2.44e-04	Down in Large
LOC119872409	56.908	146.308	1.033	-7.269	0.006	1.444	-5.034	4.82e-07	2.60e-04	Down in Large
LOC102156851	15.207	39.285	13.289	-7.615	0.005	1.523	-4.999	5.77e-07	3.00e-04	Down in Large
LOC119870511	21.19	51.601	2.183	-4.372	0.048	0.874	-5.001	5.70e-07	3.00e-04	Down in Large
LOC119864033	84.992	201.563	12.135	-4.035	0.061	0.809	-4.988	6.09e-07	3.12e-04	Down in Large
LOC111092216	71.299	152.106	20.796	-2.798	0.144	0.562	-4.975	6.52e-07	3.29e-04	Down in Large
TRNAE-UUC.5	189.313	2188.937	0.494	-9.97	0.001	2.008	-4.965	6.87e-07	3.35e-04	Down in Large
LOC119866957	236.024	607.517	3.841	-7.32	0.006	1.474	-4.967	6.80e-07	3.35e-04	Down in Large
IFI44L	250.325	482.684	105.101	-2.211	0.216	0.447	-4.946	7.58e-07	3.53e-04	Down in Large
LOC119864812	235.059	568.406	26.717	-4.405	0.047	0.89	-4.952	7.35e-07	3.53e-04	Down in Large
TRNAG-GCC.4	50.422	477.036	0.328	-8.967	0.002	1.812	-4.948	7.51e-07	3.53e-04	Down in Large
LOC111096455	151.118	367.689	15.762	-4.551	0.043	0.921	-4.939	7.83e-07	3.55e-04	Down in Large
LOC102156220	68.387	151.775	16.269	-3.167	0.111	0.641	-4.939	7.86e-07	3.55e-04	Down in Large
LOC119870459	19.66	45.881	25.4	-3.902	0.067	0.792	-4.928	8.32e-07	3.71e-04	Down in Large
TRNAP-UGG	20.116	52.243	0.036	-8.163	0.003	1.667	-4.897	9.75e-07	4.28e-04	Down in Large
LOC119865457	36.983	85.74	6.51	-3.654	0.079	0.748	-4.884	1.04e-06	4.43e-04	Down in Large
LOC610388	405.255	128.16	578.44	2.204	4.608	0.451	4.887	1.02e-06	4.43e-04	Up in Large
LOC119871701	67.478	164.523	6.824	-4.608	0.041	0.945	-4.878	1.07e-06	4.51e-04	Down in Large
TRNAG-GCC.2	95.119	1020.821	1.05	-7.984	0.004	1.639	-4.87	1.11e-06	4.57e-04	Down in Large
LOC106558211	63.188	144.203	12.554	-3.506	0.088	0.72	-4.87	1.12e-06	4.57e-04	Down in Large
LOC119872054	36.161	83.151	6.791	-3.494	0.089	0.719	-4.857	1.19e-06	4.75e-04	Down in Large
LOC119866503	43.379	107.255	3.457	-4.975	0.032	1.024	-4.86	1.18e-06	4.75e-04	Down in Large
LOC119865043	59.391	144.19	6.391	-4.489	0.045	0.925	-4.855	1.21e-06	4.75e-04	Down in Large
BST2	484.755	959.93	187.77	-2.356	0.195	0.486	-4.851	1.23e-06	4.78e-04	Down in Large
TRNAP-UGG.4	29.708	76.153	0.68	-6.732	0.009	1.389	-4.845	1.26e-06	4.86e-04	Down in Large
LOC119877776	1063914.863	2643591.85	76616.746	-5.109	0.029	1.055	-4.842	1.28e-06	4.87e-04	Down in Large
LOC119867996	17.069	39.508	3.044	-3.523	0.087	0.729	-4.836	1.33e-06	4.97e-04	Down in Large
LOC119871488	147.324	366.643	10.249	-5.173	0.028	1.074	-4.818	1.45e-06	5.37e-04	Down in Large
LOC119866269	19.215	47.139	1.762	-4.691	0.039	0.976	-4.806	1.54e-06	5.64e-04	Down in Large
LOC119866285	26.68	60.701	5.417	-3.421	0.093	0.713	-4.801	1.58e-06	5.65e-04	Down in Large
LOC111093396	103.005	208.638	36.984	-2.458	0.182	0.512	-4.803	1.57e-06	5.65e-04	Down in Large
LOC119870563	10.259	25.228	0.903	-4.611	0.041	0.961	-4.796	1.62e-06	5.69e-04	Down in Large
TRNAP-CGG	18.627	46.744	1.054	-5.371	0.024	1.12	-4.794	1.63e-06	5.69e-04	Down in Large
TRNAV-CAC.2	18.203	133.66	0.424	-6.465	0.011	1.349	-4.792	1.65e-06	5.69e-04	Down in Large
LOC119871192	55.172	127.232	10.134	-3.645	0.08	0.762	-4.783	1.73e-06	5.85e-04	Down in Large
TRNAG-UCC	40.617	362.483	0.619	-7.486	0.006	1.565	-4.782	1.73e-06	5.85e-04	Down in Large
LOC102154792	120.831	222.52	57.275	-1.95	0.259	0.409	-4.773	1.82e-06	6.00e-04	Down in Large
LOC119864313	54.932	137.61	3.259	-5.4	0.024	1.131	-4.774	1.81e-06	6.00e-04	Down in Large
TRNAL-CAA	29.082	74.061	0.97	-6.189	0.014	1.3	-4.759	1.94e-06	6.36e-04	Down in Large
LOC111092741	16.815	42.857	0.539	-6.101	0.015	1.285	-4.75	2.04e-06	6.60e-04	Down in Large
GLIPR1L2	33.28	65.533	13.122	-2.148	0.226	0.453	-4.74	2.14e-06	6.84e-04	Down in Large
LOC119873942	160.763	347.912	43.795	-2.962	0.128	0.628	-4.719	2.37e-06	7.50e-04	Down in Large
LOC119871803	44.767	103.724	7.919	-3.661	0.079	0.776	-4.714	2.42e-06	7.60e-04	Down in Large
LOC119865407	28.332	64.977	5.428	-3.517	0.087	0.747	-4.706	2.53e-06	7.82e-04	Down in Large
PARP14	268.072	452.26	152.955	-1.578	0.335	0.335	-4.705	2.54e-06	7.82e-04	Down in Large
LOC100688281	400.38	264.775	485.134	0.894	1.858	0.19	4.698	2.62e-06	7.98e-04	Up in Large
LOC102153014	351.655	581.274	208.143	-1.478	0.359	0.316	-4.682	2.84e-06	8.57e-04	Down in Large
LOC111095015	21.761	56.203	19.324	-7.341	0.006	1.57	-4.676	2.93e-06	8.66e-04	Down in Large
LOC119866041	52.711	124.156	8.058	-3.931	0.066	0.841	-4.676	2.93e-06	8.66e-04	Down in Large
LOC119869912	29.996	71.618	3.982	-4.117	0.058	0.883	-4.663	3.11e-06	9.03e-04	Down in Large
LOC119865058	16.405	41.484	0.731	-5.99	0.016	1.284	-4.665	3.09e-06	9.03e-04	Down in Large
LOC119865968	22.976	56.107	2.27	-4.601	0.041	0.987	-4.661	3.15e-06	9.05e-04	Down in Large
CACYBP	3307.091	2259.147	3962.057	0.807	1.749	0.173	4.656	3.23e-06	9.18e-04	Up in Large
TLR7	195.333	374.465	83.376	-2.129	0.229	0.459	-4.633	3.61e-06	1.02e-03	Down in Large
PRLR	463.006	975.05	142.977	-2.769	0.147	0.6	-4.614	3.94e-06	1.10e-03	Down in Large
LOC119871708	13.759	32.273	2.188	-3.732	0.075	0.81	-4.607	4.09e-06	1.13e-03	Down in Large
LOC119873132	16.657	41.624	1.052	-5.295	0.025	1.15	-4.604	4.15e-06	1.14e-03	Down in Large
LOC119869428	28.309	66.764	4.275	-3.876	0.068	0.842	-4.601	4.20e-06	1.14e-03	Down in Large
LOC119872768	50.413	118.734	7.712	-3.885	0.068	0.846	-4.593	4.37e-06	1.18e-03	Down in Large
LOC119873463	33852.907	86588.531	893.142	-6.599	0.01	1.438	-4.59	4.43e-06	1.18e-03	Down in Large
LOC111096201	35.036	80.726	6.479	-3.647	0.08	0.796	-4.581	4.63e-06	1.20e-03	Down in Large
LOC111096290	58.015	111.266	24.733	-2.135	0.228	0.466	-4.58	4.64e-06	1.20e-03	Down in Large
LOC119872433	18.788	46.543	1.441	-4.904	0.033	1.071	-4.578	4.70e-06	1.20e-03	Down in Large
LOC119872725	16.776	41.534	1.301	-4.851	0.035	1.058	-4.586	4.51e-06	1.20e-03	Down in Large
LOC106559427	35.048	71.972	11.97	-2.477	0.18	0.541	-4.58	4.64e-06	1.20e-03	Down in Large
SAMD9L	687.276	1259.718	329.5	-1.936	0.261	0.423	-4.574	4.78e-06	1.21e-03	Down in Large
LOC474739	785.943	333.122	1068.956	1.693	3.233	0.37	4.574	4.80e-06	1.21e-03	Up in Large
LOC119873505	12.305	31.642	0.22	-7.04	0.008	1.541	-4.567	4.95e-06	1.24e-03	Down in Large
LOC119865456	8.898	23.025	11.254	-6.845	0.009	1.5	-4.563	5.05e-06	1.25e-03	Down in Large
LOC119872411	23.951	55.424	4.281	-3.59	0.083	0.789	-4.549	5.38e-06	1.32e-03	Down in Large
LOC119865961	25.877	57.642	6.025	-3.187	0.11	0.701	-4.543	5.54e-06	1.35e-03	Down in Large
LOC119874363	12.135	29.614	1.21	-4.545	0.043	1.001	-4.54	5.62e-06	1.36e-03	Down in Large
LOC119869546	30.472	71.954	4.546	-3.988	0.063	0.88	-4.53	5.91e-06	1.40e-03	Down in Large
LOC111091381	16.709	38.467	3.11	-3.571	0.084	0.789	-4.529	5.92e-06	1.40e-03	Down in Large
LOC119865764	17.322	41.273	2.352	-3.959	0.064	0.874	-4.529	5.94e-06	1.40e-03	Down in Large
LOC111095840	24.955	57.859	4.39	-3.639	0.08	0.805	-4.519	6.23e-06	1.45e-03	Down in Large
LOC119866292	4093.894	10385.391	161.709	-6.006	0.016	1.329	-4.52	6.17e-06	1.45e-03	Down in Large
LOC119867373	9.548	22.588	1.399	-3.892	0.067	0.862	-4.516	6.29e-06	1.45e-03	Down in Large
TRNAR-ACG.4	8.516	21.575	0.353	-6.054	0.015	1.342	-4.51	6.48e-06	1.49e-03	Down in Large
LOC119870175	6794.079	16645.075	2031.385	-4.707	0.038	1.045	-4.507	6.59e-06	1.50e-03	Down in Large
LOC119870788	114.67	193.329	65.508	-1.522	0.348	0.338	-4.499	6.82e-06	1.54e-03	Down in Large
PKHD1	22.147	53.907	31.599	-4.626	0.04	1.029	-4.497	6.89e-06	1.55e-03	Down in Large
TGM6	11.483	28.804	8.439	-5.495	0.022	1.224	-4.49	7.11e-06	1.56e-03	Down in Large
LOC119866964	19.664	49.417	1.069	-5.615	0.02	1.249	-4.494	6.99e-06	1.56e-03	Down in Large
LOC119867494	1884.355	3324.012	984.57	-1.753	0.297	0.39	-4.491	7.10e-06	1.56e-03	Down in Large
LOC102156760	48.409	106.386	12.174	-3.126	0.115	0.698	-4.477	7.57e-06	1.65e-03	Down in Large
TRNAD-GUC.5	35.03	357.031	0.88	-7.149	0.007	1.601	-4.466	7.95e-06	1.72e-03	Down in Large
LOC106559951	16.199	32.346	6.107	-2.396	0.19	0.537	-4.46	8.20e-06	1.75e-03	Down in Large
LOC119865294	43.334	100.112	7.847	-3.638	0.08	0.816	-4.461	8.16e-06	1.75e-03	Down in Large
LOC100685369	94.745	31.163	134.484	2.362	5.143	0.531	4.45	8.58e-06	1.78e-03	Up in Large
LOC119873495	3078.505	7836.513	104.75	-6.226	0.013	1.398	-4.454	8.42e-06	1.78e-03	Down in Large
LOC119873481	22.447	54.997	2.103	-4.668	0.039	1.048	-4.453	8.48e-06	1.78e-03	Down in Large
TRNAR-ACG.2	15.225	38.878	0.442	-6.95	0.008	1.561	-4.451	8.54e-06	1.78e-03	Down in Large
LOC102156073	27.171	67.533	1.944	-5.117	0.029	1.151	-4.445	8.78e-06	1.80e-03	Down in Large
EVI2B	329.298	562.778	183.373	-1.607	0.328	0.361	-4.445	8.77e-06	1.80e-03	Down in Large
LOC111096404	307.712	653.919	91.332	-2.839	0.14	0.639	-4.441	8.97e-06	1.81e-03	Down in Large
LOC111096732	28.435	60.654	8.298	-2.865	0.137	0.645	-4.443	8.87e-06	1.81e-03	Down in Large
LOC119871683	4.334	11.086	0.113	-5.433	0.023	1.225	-4.434	9.25e-06	1.81e-03	Down in Large
TRNAG-GCC.1	91.175	981.536	0.407	-9.289	0.002	2.092	-4.44	9.02e-06	1.81e-03	Down in Large
LOC111090537	63.534	128.338	23.031	-2.466	0.181	0.556	-4.435	9.21e-06	1.81e-03	Down in Large
LOC608608	44.327	92.83	56.809	-2.745	0.149	0.619	-4.437	9.10e-06	1.81e-03	Down in Large
TRNAG-GCC.5	72.239	748.848	0.371	-9.248	0.002	2.083	-4.439	9.06e-06	1.81e-03	Down in Large
GRXCR2	13.745	35.357	20.299	-7.29	0.006	1.645	-4.431	9.36e-06	1.82e-03	Down in Large
LOC119872771	56.981	142.42	3.582	-5.323	0.025	1.204	-4.42	9.87e-06	1.91e-03	Down in Large
MYL12B	3114.241	2379.479	3573.468	0.578	1.493	0.131	4.414	1.01e-05	1.95e-03	Up in Large
LOC102151528	43.462	96.032	10.606	-3.162	0.112	0.717	-4.41	1.03e-05	1.97e-03	Down in Large
VWA5A	849.617	1496.07	445.584	-1.74	0.299	0.395	-4.406	1.05e-05	2.00e-03	Down in Large
LOC102155613	15.29	34.36	3.37	-3.178	0.111	0.722	-4.398	1.09e-05	2.06e-03	Down in Large
LOC102156058	376.862	602.93	235.57	-1.327	0.399	0.302	-4.392	1.12e-05	2.10e-03	Down in Large
LOC119865438	26.842	63.759	3.769	-3.998	0.063	0.911	-4.386	1.15e-05	2.14e-03	Down in Large
LOC100688091	69.55	139.826	25.628	-2.414	0.188	0.55	-4.387	1.15e-05	2.14e-03	Down in Large
LOC102154338	116.781	199.74	64.932	-1.596	0.331	0.364	-4.381	1.18e-05	2.15e-03	Down in Large
LOC119864982	75.375	157.246	24.206	-2.662	0.158	0.607	-4.382	1.18e-05	2.15e-03	Down in Large
TRNAV-CAC.5	19.137	149.048	0.235	-7.726	0.005	1.763	-4.383	1.17e-05	2.15e-03	Down in Large
LOC119872412	341.23	3242.305	56.181	-6.29	0.013	1.437	-4.379	1.19e-05	2.16e-03	Down in Large
LOC119874041	10.342	24.388	8.737	-4.001	0.062	0.914	-4.376	1.21e-05	2.16e-03	Down in Large
TRNAL-CAG	22.618	216.504	0.315	-7.786	0.005	1.779	-4.378	1.20e-05	2.16e-03	Down in Large
GPNMB	296.446	627.838	89.326	-2.822	0.141	0.646	-4.369	1.25e-05	2.22e-03	Down in Large
LOC119871741	11.903	29.898	0.656	-5.605	0.021	1.284	-4.367	1.26e-05	2.23e-03	Down in Large
LOC119870487	23.924	61.333	13.065	-6.587	0.01	1.511	-4.36	1.30e-05	2.29e-03	Down in Large
LOC119864026	14.107	34.445	1.396	-4.574	0.042	1.05	-4.357	1.32e-05	2.30e-03	Down in Large
TRIM22	98.212	221.526	21.141	-3.405	0.094	0.784	-4.345	1.39e-05	2.42e-03	Down in Large
LOC102151987	32.06	69.65	8.567	-3.035	0.122	0.699	-4.339	1.43e-05	2.47e-03	Down in Large
LOC100682977	4.626	11.124	0.564	-4.931	0.033	1.138	-4.332	1.47e-05	2.53e-03	Down in Large
TRNAM-CAU.6	64.61	567.392	0.529	-9.083	0.002	2.097	-4.331	1.48e-05	2.53e-03	Down in Large
TRNAV-CAC.1	18.031	128.771	0.235	-7.637	0.005	1.764	-4.329	1.50e-05	2.54e-03	Down in Large
TRNAS-GCU.1	52.971	455.159	0.345	-8.615	0.003	1.994	-4.319	1.57e-05	2.64e-03	Down in Large
LOC119870564	42.091	100.799	5.399	-4.196	0.055	0.972	-4.317	1.58e-05	2.65e-03	Down in Large
TRNAE-UUC.4	201.632	2424.039	0.135	-11.998	0	2.782	-4.313	1.61e-05	2.67e-03	Down in Large
LOC119866500	108.748	273.973	5.483	-5.649	0.02	1.309	-4.315	1.60e-05	2.67e-03	Down in Large
AVPR1B	9.539	24.549	5.994	-6.952	0.008	1.612	-4.311	1.62e-05	2.68e-03	Down in Large
LOC100688969	878.897	209.538	1297.247	2.653	6.288	0.616	4.309	1.64e-05	2.70e-03	Up in Large
LOC102153077	105.397	242.276	19.847	-3.61	0.082	0.839	-4.3	1.70e-05	2.72e-03	Down in Large
LOC119872408	29.157	65.938	6.169	-3.282	0.103	0.764	-4.299	1.72e-05	2.72e-03	Down in Large
LOC119873522	17.145	40.42	2.598	-3.889	0.067	0.904	-4.3	1.71e-05	2.72e-03	Down in Large
LOC119873443	12.384	29.756	12.468	-4.311	0.05	1.002	-4.302	1.69e-05	2.72e-03	Down in Large
LOC119873800	356.521	892.034	21.825	-5.361	0.024	1.245	-4.306	1.66e-05	2.72e-03	Down in Large
TRNAT-UGU	14.203	35.89	0.649	-5.652	0.02	1.315	-4.299	1.72e-05	2.72e-03	Down in Large
LOC119873847	21.274	39.971	9.588	-2.001	0.25	0.465	-4.302	1.70e-05	2.72e-03	Down in Large
LOC106557898	72.618	128.521	37.679	-1.63	0.323	0.38	-4.29	1.79e-05	2.77e-03	Down in Large
LOC119870559	24.302	56.632	4.096	-3.727	0.076	0.869	-4.29	1.79e-05	2.77e-03	Down in Large
LOC119872621	29.262	68.927	4.471	-3.904	0.067	0.909	-4.294	1.76e-05	2.77e-03	Down in Large
LOC106559410	71.829	158.243	17.821	-3.133	0.114	0.73	-4.29	1.79e-05	2.77e-03	Down in Large
LOC119866989	31.739	78.967	2.222	-5.2	0.027	1.212	-4.289	1.79e-05	2.77e-03	Down in Large
CD180	393.782	599.631	265.126	-1.175	0.443	0.274	-4.284	1.84e-05	2.82e-03	Down in Large
DIO1	29.346	71.078	3.264	-4.402	0.047	1.028	-4.282	1.85e-05	2.82e-03	Down in Large
LOC100856620	183.825	96.239	238.567	1.261	2.396	0.294	4.283	1.85e-05	2.82e-03	Up in Large
LOC102152513	28.822	60.985	8.721	-2.706	0.153	0.632	-4.28	1.87e-05	2.83e-03	Down in Large
TRNAV-AAC.4	24.065	152.272	0.295	-7.686	0.005	1.799	-4.273	1.93e-05	2.91e-03	Down in Large
LOC119877775	5959701.468	14266866.116	767723.563	-4.216	0.054	0.989	-4.265	2.00e-05	2.96e-03	Down in Large
LOC119864308	19.493	45.907	2.985	-3.765	0.074	0.883	-4.266	1.99e-05	2.96e-03	Down in Large
STARD9	855.762	1300.045	578.085	-1.166	0.446	0.273	-4.266	1.99e-05	2.96e-03	Down in Large
LOC100688737	260.472	122.609	346.636	1.542	2.913	0.362	4.265	2.00e-05	2.96e-03	Up in Large
LOC119866652	19.904	50.068	1.052	-5.631	0.02	1.323	-4.258	2.07e-05	3.04e-03	Down in Large
LOC100684649	51.718	114.244	12.638	-3.165	0.111	0.744	-4.254	2.10e-05	3.06e-03	Down in Large
TRNAE-UUC.7	123.239	1473.044	0.421	-9.688	0.001	2.277	-4.255	2.09e-05	3.06e-03	Down in Large
LOC119870961	22.413	53.102	31.318	-4.085	0.059	0.962	-4.248	2.16e-05	3.13e-03	Down in Large
VSNL1	24364.632	13027.015	31450.642	1.271	2.414	0.301	4.229	2.35e-05	3.39e-03	Up in Large
SNAP25	120134.22	81564.008	144240.603	0.822	1.768	0.195	4.227	2.37e-05	3.40e-03	Up in Large
LOC119874346	10.53	25.657	1.075	-4.339	0.049	1.027	-4.224	2.40e-05	3.42e-03	Down in Large
LOC111096027	141.239	284.419	51.751	-2.444	0.184	0.58	-4.215	2.50e-05	3.52e-03	Down in Large
LOC119864039	8.421	21.214	0.425	-5.378	0.024	1.276	-4.215	2.49e-05	3.52e-03	Down in Large
LOC119864157	46.933	95.22	16.753	-2.451	0.183	0.582	-4.215	2.49e-05	3.52e-03	Down in Large
RORA	292.142	534.931	140.4	-1.919	0.264	0.456	-4.209	2.57e-05	3.60e-03	Down in Large
SPAG6	68.431	138.546	24.609	-2.465	0.181	0.588	-4.194	2.74e-05	3.72e-03	Down in Large
IFI44	859.701	1475.658	474.728	-1.64	0.321	0.391	-4.192	2.76e-05	3.72e-03	Down in Large
RNF213	1484.101	2457.103	875.974	-1.489	0.356	0.356	-4.189	2.80e-05	3.72e-03	Down in Large
LOC119880525	541.886	974.956	271.218	-1.829	0.281	0.436	-4.196	2.71e-05	3.72e-03	Down in Large
LOC119873539	14.621	93.512	1.898	-4.09	0.059	0.975	-4.194	2.74e-05	3.72e-03	Down in Large
IL2RB	19.388	45.697	11.213	-3.871	0.068	0.923	-4.192	2.77e-05	3.72e-03	Down in Large
LOC102152216	242.108	505.16	77.7	-2.691	0.155	0.641	-4.199	2.68e-05	3.72e-03	Down in Large
LOC102157011	16.131	34.806	4.459	-2.844	0.139	0.678	-4.197	2.71e-05	3.72e-03	Down in Large
LOC102157067	20.613	41.157	7.773	-2.394	0.19	0.57	-4.196	2.71e-05	3.72e-03	Down in Large
LOC119864800	8.056	19.213	1.083	-3.798	0.072	0.907	-4.189	2.80e-05	3.72e-03	Down in Large
LOC111093283	22.129	48.19	5.841	-2.964	0.128	0.707	-4.194	2.74e-05	3.72e-03	Down in Large
TRNAE-CUC.8	210.984	2187.318	2.113	-8.051	0.004	1.922	-4.189	2.80e-05	3.72e-03	Down in Large
SPATA21	5.473	13.11	0.7	-4.214	0.054	1.006	-4.187	2.83e-05	3.73e-03	Down in Large
LOC119871381	9.409	22.908	0.972	-4.443	0.046	1.061	-4.187	2.82e-05	3.73e-03	Down in Large
CDHR3	4.936	12.834	5.106	-6.395	0.012	1.529	-4.183	2.88e-05	3.76e-03	Down in Large
CD44	912.673	1721.556	407.121	-2.078	0.237	0.497	-4.181	2.90e-05	3.76e-03	Down in Large
LOC119864689	229.246	456.189	87.407	-2.375	0.193	0.568	-4.182	2.89e-05	3.76e-03	Down in Large
LOC119868462	932.224	244.341	1362.151	2.499	5.655	0.598	4.183	2.88e-05	3.76e-03	Up in Large
TRNAR-CCU.3	17.318	44.683	0.215	-7.393	0.006	1.769	-4.179	2.92e-05	3.77e-03	Down in Large
LOC106559248	163.947	337.691	55.356	-2.608	0.164	0.624	-4.177	2.96e-05	3.77e-03	Down in Large
ADGRF5	2996.903	4263.26	2205.431	-0.947	0.519	0.227	-4.178	2.94e-05	3.77e-03	Down in Large
